"Verdachten; delictgroep, stedelijkheid buurt en woongemeente"
"";"Onderwerpen";"Aangehouden verdachten";"Aangehouden verdachten";"Aangehouden verdachten";"Aangehouden verdachten";"Aangehouden verdachten";"Aangehouden verdachten";"Aangehouden verdachten";"Aangehouden verdachten";"Aangehouden verdachten";"Aangehouden verdachten";"Aangehouden verdachten";"Aangehouden verdachten";"Aangehouden verdachten";"Aangehouden verdachten";"Aangehouden verdachten"
"";"Onderwerpen";"Totaal verdachten";"Totaal verdachten";"Totaal verdachten";"Totaal verdachten";"Totaal verdachten";"Totaal verdachten";"Totaal verdachten";"Totaal verdachten";"Totaal verdachten";"Totaal verdachten";"Totaal verdachten";"Totaal verdachten";"Totaal verdachten";"Totaal verdachten";"Totaal verdachten"
"";"Onderwerpen";"Totaal verdachten van misdrijven";"Totaal verdachten van misdrijven";"Totaal verdachten van misdrijven";"Totaal verdachten van misdrijven";"Totaal verdachten van misdrijven";"Totaal verdachten van misdrijven";"Totaal verdachten van misdrijven";"Totaal verdachten van misdrijven";"Totaal verdachten van misdrijven";"Totaal verdachten van misdrijven";"Totaal verdachten van misdrijven";"Totaal verdachten van misdrijven";"Totaal verdachten van misdrijven";"Totaal verdachten van misdrijven";"Totaal verdachten van misdrijven"
"";"Perioden";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013*"
"Stedelijkheid buurt";"Regio 's";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Totaal";"Groningen (PV)";"5190";"5250";"5400";"5180";"5890";"6630";"7550";"7240";"7340";"6890";"6490";"5740";"5680";"5510";"3960"
"Totaal";"Friesland (PV)";"4120";"4220";"4870";"5390";"5930";"6130";"6610";"6900";"6530";"5970";"6320";"6260";"6010";"5240";"4510"
"Totaal";"Drenthe (PV)";"1960";"1770";"3880";"3990";"4150";"4360";"5110";"5270";"5450";"5210";"4410";"4250";"4130";"4020";"3000"
"Totaal";"Overijssel (PV)";"8250";"8210";"8980";"8460";"9890";"10840";"11820";"11720";"11740";"11650";"9490";"9140";"9180";"9140";"7560"
"Totaal";"Flevoland (PV)";"2920";"3190";"3890";"4160";"5060";"5830";"5960";"6100";"6130";"5990";"5400";"4960";"5020";"4880";"4420"
"Totaal";"Gelderland (PV)";"15130";"13780";"16960";"17600";"20130";"21800";"23420";"22800";"22340";"20620";"18430";"16920";"17700";"17190";"16000"
"Totaal";"Utrecht (PV)";"10010";"10330";"9840";"12300";"13670";"14680";"15370";"15380";"15390";"14930";"14760";"11720";"11780";"10850";"10600"
"Totaal";"Noord-Holland (PV)";"24480";"24800";"24640";"27370";"31690";"33080";"33420";"35470";"36210";"33860";"33070";"30970";"31110";"28750";"21520"
"Totaal";"Zuid-Holland (PV)";"37450";"36800";"38400";"43870";"49500";"54450";"56780";"58900";"60030";"54310";"49280";"48380";"48860";"47210";"44500"
"Totaal";"Zeeland (PV)";"3100";"2590";"3540";"3750";"4510";"4790";"4740";"4770";"4650";"4400";"4260";"3960";"4000";"3780";"3270"
"Totaal";"Noord-Brabant (PV)";"17410";"18150";"19550";"21330";"23370";"25400";"27230";"28570";"28450";"27120";"24590";"22480";"21850";"21200";"19360"
"Totaal";"Limburg (PV)";"10000";"9180";"9490";"9680";"10490";"11620";"11740";"11680";"13060";"12290";"11330";"11950";"12270";"12090";"11130"
"© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 31-3-2015"
