"Bevolking; geslacht, leeftijd, burgerlijke staat en regio, 1 januari"
"Onderwerpen";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking naar geslacht"
"Onderwerpen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen"
"Leeftijd";"Totaal leeftijden";"Totaal leeftijden";"Totaal leeftijden";"Totaal leeftijden";"Totaal leeftijden";"Totaal leeftijden";"Totaal leeftijden";"Totaal leeftijden";"Totaal leeftijden";"Totaal leeftijden";"Totaal leeftijden";"Totaal leeftijden";"Totaal leeftijden";"Totaal leeftijden";"Totaal leeftijden"
"Perioden";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013"
"Regio's";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Groningen (PV)";"559988";"562646";"566489";"570480";"572997";"574384";"575072";"574042";"573614";"573459";"574092";"576668";"579036";"580875";"581705"
"Friesland (PV)";"621222";"624500";"630539";"636184";"639787";"642066";"642977";"642230";"642209";"643189";"644811";"646305";"647282";"647214";"646862"
"Drenthe (PV)";"467093";"469806";"474506";"478799";"481254";"482415";"483369";"484481";"486197";"488135";"489918";"490981";"491411";"490807";"489918"
"Overijssel (PV)";"1070444";"1077625";"1086280";"1094032";"1100677";"1105512";"1109432";"1113529";"1116374";"1119994";"1125435";"1130345";"1134465";"1137668";"1139350"
"Flevoland (PV)";"306468";"317206";"328936";"341721";"351680";"359904";"365859";"370656";"374424";"378688";"383449";"387881";"391967";"395525";"398441"
"Gelderland (PV)";"1906778";"1919158";"1934314";"1949233";"1960422";"1966929";"1972010";"1975704";"1979059";"1983869";"1991062";"1998936";"2004671";"2010745";"2015791"
"Utrecht (PV)";"1098722";"1107849";"1117997";"1139925";"1152218";"1162258";"1171291";"1180039";"1190604";"1201350";"1210869";"1220910";"1228794";"1237117";"1245294"
"Noord-Holland (PV)";"2503158";"2518354";"2534599";"2559477";"2573120";"2587265";"2599103";"2606584";"2613070";"2626163";"2646445";"2669084";"2691477";"2709822";"2724300"
"Zuid-Holland (PV)";"3378770";"3397744";"3420700";"3423780";"3439982";"3451942";"3458381";"3458875";"3455097";"3461435";"3481558";"3505611";"3528324";"3552407";"3563935"
"Zeeland (PV)";"370571";"371866";"374920";"377235";"378348";"379028";"379978";"380186";"380497";"380585";"380984";"381409";"381530";"381407";"381077"
"Noord-Brabant (PV)";"2337709";"2356004";"2375116";"2391123";"2400198";"2406994";"2411359";"2415946";"2419042";"2424827";"2434560";"2444158";"2454215";"2463686";"2471011"
"Limburg (PV)";"1139302";"1141192";"1142679";"1143296";"1141889";"1139335";"1136695";"1131938";"1127805";"1123705";"1122604";"1122701";"1122627";"1123075";"1121891"
"© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 31-3-2015"
